,open,high,low,close,volume
2006-01-03,46.9200,47.1800,46.1500,47.0800,16296700
2006-01-04,47.0000,47.2400,46.4500,46.5800,17757900
2006-01-05,46.5800,46.8300,46.3200,46.6400,14970700
2006-01-06,46.8000,46.9100,46.3500,46.5700,12599800
2006-01-09,46.7200,46.9700,46.3600,46.6000,15619400
2006-01-10,46.4000,46.5100,45.8800,46.2100,15634600
2006-01-11,46.0600,46.2500,45.7500,46.1000,14742100
2006-01-12,46.2200,46.2300,45.7100,45.8000,10546600
2006-01-13,45.8300,46.0000,45.6800,45.8000,10791000
2006-01-17,45.4000,45.5800,45.0000,45.3100,14605900
2006-01-18,45.3200,45.6500,44.9200,45.2600,10867000
2006-01-19,45.8800,45.8800,44.8500,45.1400,14584000
2006-01-20,45.0000,45.1500,44.1700,44.1900,24950800
2006-01-23,43.5000,44.3900,43.4900,43.9600,23459500
2006-01-24,44.0800,44.6800,44.0400,44.2400,13500300
2006-01-25,44.1500,44.6500,44.1500,44.6300,15132000
2006-01-26,45.0000,45.1600,44.6700,44.9000,18449100
2006-01-27,44.9000,45.1100,44.6100,44.8000,12250800
2006-01-30,44.7500,45.3500,44.2500,44.4800,14812100
2006-01-31,44.6500,44.7300,44.1200,44.2300,19151000
2006-02-01,44.1000,44.2400,43.8600,43.9500,15854700
2006-02-02,43.9500,43.9700,43.3700,43.4400,14745100
2006-02-03,43.3000,43.5500,42.9200,43.0900,17097000
2006-02-06,43.4000,43.6500,43.2400,43.3700,12554600
2006-02-07,43.6000,43.8700,43.4600,43.4900,13914200
2006-02-08,43.5500,43.7200,43.3400,43.6700,11101600
2006-02-09,43.7500,44.0500,43.7000,43.8300,13766200
2006-02-10,43.7700,44.0200,43.4100,43.9200,9038900
2006-02-13,43.7000,43.9600,43.3000,43.7000,8329500
2006-02-14,43.9200,44.4900,43.7300,44.1600,17049200
2006-02-15,44.0700,44.6000,43.9300,44.3600,12818500
2006-02-16,44.3900,44.7300,44.2800,44.6900,11773700
2006-02-17,44.7800,45.3200,44.5200,44.6600,11938900
2006-02-21,44.7100,44.8300,44.5100,44.5500,10380500
2006-02-22,44.4500,45.1700,44.4200,45.0800,14729600
2006-02-23,45.1900,45.7000,45.0000,45.3700,17345700
2006-02-24,44.9400,45.8900,44.9400,45.7200,13832400
2006-02-27,45.8400,46.0000,45.7000,45.9800,18460200
2006-02-28,45.7700,46.0500,45.7500,45.8500,20699000
2006-03-01,45.3500,45.6700,45.3100,45.6000,15576200
2006-03-02,45.2500,45.3600,44.9000,45.1500,14367400
2006-03-03,45.0800,45.4900,44.9800,45.1900,12399500
2006-03-06,45.1000,45.3000,44.9100,45.2100,11318400
2006-03-07,45.0900,45.6900,45.0500,45.6200,12823300
2006-03-08,45.4200,45.8900,45.4200,45.7100,14201200
2006-03-09,45.7000,45.8100,45.4900,45.5500,11922800
2006-03-10,45.5000,46.0000,45.4500,45.9500,12535400
2006-03-13,45.9600,46.2000,45.7900,45.9400,10090800
2006-03-14,46.0000,46.4000,45.9400,46.2600,14364000
2006-03-15,46.0500,46.5300,45.8700,46.4000,11344600
2006-03-16,46.4800,46.9000,46.4800,46.7600,13005400
2006-03-17,46.9700,46.9800,46.6400,46.9000,18970500
2006-03-20,46.7100,47.0000,46.5600,46.9000,11243700
2006-03-21,46.7500,46.9800,46.5200,46.5700,11774400
2006-03-22,46.4000,47.1400,46.4000,46.9900,11157200
2006-03-23,46.8700,46.9800,46.6100,46.7000,10793900
2006-03-24,46.7800,47.0000,46.6600,46.9000,10495000
2006-03-27,46.7900,46.9300,46.6700,46.8200,10450300
2006-03-28,46.6200,47.0100,45.9500,46.0600,16077800
2006-03-29,46.1700,46.3000,45.7200,45.9700,11836200
2006-03-30,45.8000,46.0900,45.4800,45.6100,12825100
2006-03-31,45.7300,45.9200,45.4500,45.5400,10968800
2006-04-03,45.8500,46.2200,45.6600,45.6800,11832600
2006-04-04,45.7700,46.4000,45.7000,46.2900,8823300
2006-04-05,46.2100,46.5700,46.2100,46.5500,10249600
2006-04-06,46.3300,46.5300,46.0500,46.2000,7795500
2006-04-07,46.4100,46.4700,45.6600,45.7400,9406600
2006-04-10,45.9000,46.0800,45.6400,45.6800,9100000
2006-04-11,45.7500,46.0000,45.4500,45.5600,8570000
2006-04-12,45.6200,45.9200,45.5700,45.7200,7157300
2006-04-13,45.7300,45.9300,45.6000,45.7300,7642200
2006-04-17,45.9500,45.9500,45.2600,45.4800,10618900
2006-04-18,45.4500,46.3000,45.3700,45.9600,16356400
2006-04-19,45.8700,46.2400,45.7900,46.0500,10493000
2006-04-20,46.6000,46.8500,46.1100,46.2800,17056200
2006-04-21,46.3500,46.9500,46.3500,46.8700,16502600
