,open,high,low,close,volume
2006-01-03,126.7000,129.4400,124.2300,128.8700,6188700
2006-01-04,127.3500,128.9100,126.3800,127.0900,4861600
2006-01-05,126.0000,127.3200,125.6100,127.0400,3717400
2006-01-06,127.2900,129.2500,127.2900,128.8400,4319600
2006-01-09,128.5000,130.6200,128.0000,130.3900,4723500
2006-01-10,130.0500,132.9500,130.0200,132.0300,5536800
2006-01-11,131.4500,133.8000,131.4200,131.9700,4671400
2006-01-12,131.4000,133.2100,131.3800,132.2500,3725500
2006-01-13,132.0200,133.6600,131.9000,133.2600,2894900
2006-01-17,131.0000,133.1300,130.5900,132.5900,3621600
2006-01-18,131.0600,132.6800,131.0100,131.8500,4302700
2006-01-19,132.7200,134.8200,132.7100,133.8200,5010700
2006-01-20,132.8500,134.0600,131.2500,131.4400,5679900
2006-01-23,131.6400,134.1800,131.6400,132.8700,3847900
2006-01-24,132.6300,134.0900,132.3400,133.0000,3758000
2006-01-25,133.6500,134.0400,132.4600,133.5600,3740500
2006-01-26,133.0100,138.3600,133.0100,137.4000,4808200
2006-01-27,137.9300,139.7500,137.1000,138.9400,3687900
2006-01-30,139.5500,140.6400,138.7100,139.8700,3168600
2006-01-31,139.7300,141.8600,138.4500,141.2500,4906200
2006-02-01,141.4000,142.9500,140.4300,141.7100,3635900
2006-02-02,142.2700,143.7700,141.4000,142.5200,3711000
2006-02-03,141.5500,143.1200,140.7000,142.7400,4178900
2006-02-06,142.6100,144.1000,141.6000,142.8200,3849300
2006-02-07,142.3500,143.3100,139.4800,139.4800,5207700
2006-02-08,140.1000,141.9300,139.3200,141.1400,4481400
2006-02-09,141.1400,142.8500,140.4900,140.8500,3059500
2006-02-10,140.6700,141.8500,137.8000,140.8100,4433100
2006-02-13,139.6500,141.8000,139.1500,139.6500,2155200
2006-02-14,141.2000,142.3200,138.7700,141.7800,3003100
2006-02-15,141.8900,145.5000,141.4000,145.1400,4330700
2006-02-16,146.1000,146.3500,144.2100,145.9000,2847300
