,open,high,low,close,volume
2006-01-03,39.8300,40.3600,39.3000,40.1900,12838600
2006-01-04,39.7800,40.1400,39.4200,39.6200,13491500
2006-01-05,39.6100,39.8100,39.5000,39.7400,8109400
2006-01-06,39.9200,40.2400,39.5500,40.0200,7966900
2006-01-09,39.8800,40.7200,39.8800,40.6700,16575200
2006-01-10,40.5000,40.7500,40.0700,40.7300,16614800
2006-01-11,40.7300,40.8700,40.6100,40.7000,12332300
2006-01-12,40.2500,40.4200,39.9000,39.9500,12230000
2006-01-13,39.7800,40.0300,39.6500,39.9200,10961200
2006-01-17,39.4800,39.8200,39.4100,39.7100,9941100
2006-01-18,39.1100,39.7100,38.9500,39.3500,17813100
2006-01-19,39.3400,39.4700,38.8000,39.0600,12091800
2006-01-20,38.8100,38.8200,37.8800,38.0500,20902400
2006-01-23,38.1400,38.7000,37.9700,38.2700,13172300
2006-01-24,38.2700,38.5300,38.0900,38.1100,9781500
2006-01-25,38.1600,38.6800,38.0600,38.4800,14248700
2006-01-26,38.7100,39.8100,38.7100,39.5900,16187900
2006-01-27,39.2500,40.0400,39.1700,39.7500,12929400
2006-01-30,39.5200,39.9700,39.4200,39.8500,8701700
2006-01-31,40.0300,40.1900,39.7400,39.7500,15582100
2006-02-01,39.8800,40.2200,39.6700,39.8800,11429800
2006-02-02,39.8800,40.1600,39.5900,39.9900,10309100
2006-02-03,39.4500,40.1000,39.4000,39.5300,10440700
2006-02-06,39.4000,39.6000,39.3100,39.4400,6591800
2006-02-07,39.2000,39.6000,39.0500,39.2600,8590500
2006-02-08,39.2800,39.6200,39.2500,39.6000,10065200
2006-02-09,39.5000,40.0300,39.4400,39.7700,8496300
2006-02-10,39.6200,39.9800,39.2900,39.9200,8790500
2006-02-13,39.7700,40.3100,39.6100,39.7700,7791600
2006-02-14,39.8000,40.3300,39.6500,40.1000,12904100
2006-02-15,39.9700,40.5000,39.9700,40.3200,12685700
2006-02-16,40.4500,40.8200,40.2400,40.8200,11572000
2006-02-17,40.6600,40.8200,40.4000,40.7800,11518600
2006-02-21,40.6300,40.9500,40.5500,40.7000,7324500
2006-02-22,40.8900,41.5500,40.7400,41.4100,13151400
2006-02-23,41.2600,41.5700,41.0000,41.1100,8739500
2006-02-24,40.9400,41.8300,40.8700,41.6600,9294300
2006-02-27,41.6700,41.9500,41.5500,41.5800,8541700
2006-02-28,41.3600,41.6000,40.9700,41.1400,11716200
2006-03-01,41.2000,41.9400,41.1300,41.6300,10527700
